English,French,German,Italian,Spanish
ARE YOU SURE YOU,,,,Seguramente (depends on context)
WANT TO DELETE,,,,quieres borrar
WANT TO DISCARD,,,,quieres desechar
THIS TEST?,,,,esta prueba
PROCESSING DATA,,,,Procesando datos
PLEASE WAIT...,,,,Pro favor espera..
PLEASE WAIT,,,,Por favor espera
WHILE READING,,,,(depends on context)
THE RECORD,,,,el récord
READING RECORD,,,,leyendo récord (don't know if this actually works)
LINK,,,,enlazar (google translate)
LINK SNOW PROFILE,,,,enlazar perfíl de nieve
ENTER PASSWORD,,,,Entrar contraseña
DAILY TEST LIMIT,,,,límite de pruebas diaria
OF 254 REACHED!!!,,,,de 254 alcanzado
FAVORITE LIMIT OF,,,,Límite de favoritos
64 REACHED!,,,,64 alcanzado
EDITING DISABLED ,,,,editacíon apagado
DATE AND TIME,,,,fecha y hora
BLUETOOTH,,,,Bluetooth
INITIALIZING BLUETOOTH,,,,Iniciando Bluetooth
GRAPH DETAIL,,,,Detalle gráfico
GRAPH DETAIL 0,,,,Detalle gráfico 0
GRAPH DETAIL 1,,,,Detalle gráfico 1
GRAPH DETAIL 2,,,,Detalle gráfico 2
GRAPH DETAIL 3,,,,Detalle gráfico 3
GRAPH DETAIL 4,,,,Detalle gráfico 4
LANGUAGE,,,,Idioma
REQUIRE SLOPE,,,,Exigir inclinación
ABOUT DEVICE,,,,Información del aparato
INITIALIZING,,,,Iniciando
THE DEVICE IS NOW,,,,"El aparato esta (not quite clear, depends on subsequent words)"
DISCOVERABLE.,,,,Detectable
PLEASE CONNECT,,,,Favor de conectar
YOUR DEVICE,,,,Tú aparato
CONNECTED,,,,Conectado
PREPARING TO SYNC,,,,Preparando para sincronizar
SYNCING,,,,Sincronizando
SYNC COMPLETE!,,,,¡Sincronizado!
SYNC FAILED!,,,,¡Syncronización falló!
PLEASE TRY AGAIN,,,,Favor de intentar otra vez
PLEASE TURN,,,,"Favor de girar (to literally turn, different if turn on/off)"
ON BLUETOOTH,,,,"(depends, need clarity)"
TO SEND THE FILE,,,,para enviar la carpeta
NO TESTS AVAILABLE,,,,No hay pruebas disponibles
TO SYNC!,,,,¡para sincronizar!
DATE,,,,Fecha
TIME FORMAT,,,,Formato horario
TIME ZONE,,,,Zona horaria
TIME,,,,Hora
ZONE,,,,Zona
DAYLIGHT,,,,Luz diario
SAVINGS TIME,,,,"El hoario de verano (needs to be the full thing: Daylight Savings Time, can't split up naturally)"
SENSOR OUTPUT,,,,producción del sensor
PRESSURE:,,,,presión:
DEPTH:,,,,ancho
EYE:,,,,Ojo (not sure this is what you mean)
TILT:,,,,inclinación
"""Please keep probe still at the end of the test""",,,,favor de mantener el explorador quieto al final de la prueba
"""Keep tip above snow during calibration""",,,,Favor de mantener la punta superior a la nieve durante calibración
"""Probe never entered snow or started in snow. Try brushing off tip""",,,,El explorador nunca entró la nieve o empezó en la nieve. Favor de limpiar la punta
"""Never started the test? Probe more smoothly""",,,,¿Comenzó la prueba? Favor de sondear mas suave
"""Wait for calibration: keep probe still until you hear the beep""",,,,Calibrando. Favor de mantener el explorador quieto hasta que suene el bip
"""Probe more smoothly""",,,,Favor de sondear mas suave
"""Never started the test? Check the tip.",,,,¿Comenzó la prueba? Favor de limpiar la punta
"""Probe faster and keep probe still at the end of the test""",,,,Favor de sondear mas rapido y mantener el explorador quieto al final de la prueba
"""Wait for calibration: keep probe above the snow until you hear the beep""",,,,Calibrando. Favor de mantener el explorador superor a la nieve hasta que suene el bip
"""Probe more smoothly, keep still during calibration and at the end of the test""",,,,Favor de sondear mas suave y mantener quieto durante calibración al final de la prueba
"""Probe more smoothly, and try brushing off the tip""",,,,Favor de sondear mas suave y de limpiar la punta
"""Probe entered snow too late: probe faster. ",,,,El explorador entró la nieve tarde. Favor de sondear mas rapido
"""Do not pull probe up until after the double beep""",,,,Favor de no sacar el explorador hasta que suene el doble bip
