ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
  CALIBRATING,  CALIBRAGE,DEU,ITA,  CALIBRACIÓN
COLLECTING DATA,COLLECTION DES DONNEES,DEU,ITA,COLECTANDO DATOS
COMPASS CALIBRATION,CALIBREMENT DE LA BOUSSOLE,DEU,ITA,CALIBRACIÓN DE LA BRÚJULA
GPS LOCK ACQUIRED!,SATELLITES GPS ACQUIS,DEU,ITA,GPS ADQUIRIDO
GPS INFORMATION,INFORMATION GPS,DEU,ITA,INFORMACIÓN GPS
ACQUIRED!,ACQUIS!,DEU,ITA,ADQUIRIDO
PLEASE ENTER THE,SVP ENTRER LE,DEU,ITA,FAVOR DE ENTRAR
ENTER,ENTRER ,DEU,ITA,ENTRAR
MANUAL ENTRY,MANUELLE ENTRER,DEU,ITA,ENTRADA MANUAL
ASPECT,ASPECT,DEU,ITA,ASPECTO
ERROR,ERREUR,DEU,ITA,ERROR
REMOVE SDCARD,RETIRER LA SDCARD,DEU,ITA,RETIRAR LA TARJETA SD
PLEASE INSERT,SVP INSERER,DEU,ITA,FAVOR DE INSERTAR
A VALID SDCARD,UNE SDCARD VALIDE,DEU,ITA,VÁLIDO TARJETA SD
TO THE DEVICE,DANS L’APPAREIL,DEU,ITA,AL APARATO
REBOOTING,REDEMARRAGE,DEU,ITA,REINICIENDO
REBOOTING...,REDEMARRAGE…,DEU,ITA,REINICIO…
REBOOT,REDEMARRER,DEU,ITA,REINICIO
SW REBOOT,REDEMARRAGE DU LOGICIEL,DEU,ITA,REINICIO DE SOFTWARE
FIRMWARE UPDATE,MISE A JOUR DU FIRMWARE,DEU,ITA,FIRMWARE ACTUALIZADA
  FAILED,  ECHOUE,DEU,ITA,  FALTA
  PLEASE,  SVP,DEU,ITA,  POR FAVOR
RECONNECT TO PC,RECONNECTER AU PC,DEU,ITA,VOLVER DE CONECTAR AL PC
 AND TRY AGAIN,ET ESSAYER DE NOUVEAU,DEU,ITA,INTENTAR OTRA VEZ
NEW FIRMWARE,NOUVEAU FIRMWARE,DEU,ITA,FIRMWARE NUEVA
  DETECTED,  DETECTE,DEU,ITA,  DETECTADO
PRESS SELECT,PRESSE SELECTIONNER,DEU,ITA,PRESIONAR ESCOGER
  TO REBOOT,  POUR REDEMARRER,DEU,ITA,  REINICIAR
  VALIDATING,  VALIDATION,DEU,ITA,  VALIDANDO
GRAPH CUT AT PAUSE,FOO,DEU,ITA,RECORTA GRÁFICO EN PAUSA
ARE YOU SURE YOU,ETES VOUS SUR,DEU,ITA,ESTAS SEGURO DE
WANT TO DELETE,DE VOULOIR EFFACER,DEU,ITA,QUIERES BORRAR
WANT TO DISCARD,DE VOULOIR ABANDONNER,DEU,ITA,QUIERES DESECHAR
THIS TEST?,CE TEST?,DEU,ITA,ESTA PRUEBA
PROCESSING DATA,TRAITEMENT DES DONNEES,DEU,ITA,PROCESANDO DATOS
PLEASE WAIT...,ATTENDEZ SVP,DEU,ITA,ESPERA POR FAVOR...
PLEASE WAIT,ATTENDER,DEU,ITA,ESPERA POR FAVOR
WHILE READING,QUE LES DONNEES SOIENT LUES,DEU,ITA,MIENTRAS LEYENDO
THE RECORD,LE RECORD,DEU,ITA,EL RÉCORD
READING RECORD,LECTURE DES RECORD ,DEU,ITA,LEYENDO RÉCORD 
LINK,LIER,DEU,ITA,ENLAZAR 
LINK SNOW PROFILE,LIER LE PROFILE DE NEIGE,DEU,ITA,ENLAZAR PERFÍL DE NIEVE
ENTER PASSWORD,ENTRER LE MOT DE PASSE,DEU,ITA,ENTRAR CONTRASEÑA
DAILY TEST LIMIT,LIMITE DE 254 ,DEU,ITA,LÍMITE DE PRUEBAS DIARIA
OF 254 REACHED!!!,TESTS JOURNALIER ATTEINTE,DEU,ITA,DE 254 ALCANZADO
FAVORITE LIMIT OF,LIMITE DE 64,DEU,ITA,LÍMITE DE FAVORITOS
64 REACHED!,TESTS JOURNALIER ATTEINTE,DEU,ITA,64 ALCANZADO
EDITING DISABLED ,EDITION DESACTIVEE,DEU,ITA,EDITACÍON APAGADO
DATE AND TIME,DATE ET HEURE,DEU,ITA,FECHA Y HORA
BLUETOOTH,BLUETOOTH,DEU,ITA,BLUETOOTH
INITIALIZING BLUETOOTH,INITIALISATION BLUETOOTH,DEU,ITA,INICIANDO BLUETOOTH
GRAPH DETAIL,DETAIL GRAPHE,DEU,ITA,DETALLE GRÁFICO
GRAPH DETAIL 0,DETAIL GRAPHE 0,DEU,ITA,DETALLE GRÁFICO 0
GRAPH DETAIL 1,DETAIL GRAPHE 1,DEU,ITA,DETALLE GRÁFICO 1
GRAPH DETAIL 2,DETAIL GRAPHE 2,DEU,ITA,DETALLE GRÁFICO 2
GRAPH DETAIL 3,DETAIL GRAPHE 3,DEU,ITA,DETALLE GRÁFICO 3
GRAPH DETAIL 4,DETAIL GRAPHE 4,DEU,ITA,DETALLE GRÁFICO 4
LANGUAGE,LANGUE,DEU,ITA,IDIOMA
REQUIRE SLOPE,PENTE OBLIGATOIRE,DEU,ITA,EXIGIR INCLINACIÓN
ABOUT DEVICE,A PROPOS DE L'APPAREIL,DEU,ITA,INFORMACIÓN DEL APARATO
INITIALIZING,INITIALISATION,DEU,ITA,INICIANDO
THE DEVICE IS NOW,L'APPAREIL EST MAINTENANT DECOUVRABLE,DEU,ITA,EL APARATO ESTA 
DISCOVERABLE.,FOO,DEU,ITA,DETECTABLE
PLEASE CONNECT,CONNECTER VOTRE ,DEU,ITA,FAVOR DE CONECTAR
YOUR DEVICE,APPAREIL SVP,DEU,ITA,TÚ APARATO
CONNECTED,CONNECTE,DEU,ITA,CONECTADO
PREPARING TO SYNC,PREPARATION DE LA SYNCHRONISATION,DEU,ITA,PREPARANDO PARA SINCRONIZAR
SYNCING,SYNCHRONISATION,DEU,ITA,SINCRONIZANDO
SYNC COMPLETE!,SYNCHRONISATION COMPLETEE,DEU,ITA,¡SINCRONIZADO!
SYNC FAILED!,SYNCHRONISATION ECHOUEE,DEU,ITA,¡SYNC FALLÓ!
PLEASE TRY AGAIN,ESSAYER DE NOUVEAU SVP,DEU,ITA,FAVOR DE INTENTAR OTRA VEZ
PLEASE TURN,ALLUMER BLUETOOTH ,DEU,ITA,FAVOR DE 
ON BLUETOOTH,POUR ENVOYER,DEU,ITA,APAGAR BLUETOOTH
TO SEND THE FILE,LE FICHIER,DEU,ITA,PARA ENVIAR LA CARPETA
NO TESTS AVAILABLE,A SYNCHRONISER,DEU,ITA,NO HAY PRUEBAS DISPONIBLES
TO SYNC!,AUCUN TEST ,DEU,ITA,PARA SINCRONIZAR!
DATE,DATE,DEU,ITA,FECHA
TIME FORMAT,FORMAT DE LHEURE,DEU,ITA,FORMATO HORARIO
TIME ZONE,FUSEAU HORAIRE,DEU,ITA,ZONA HORARIA
TIME,HEURE,DEU,ITA,HORA
ZONE,FUSEAU,DEU,ITA,ZONA
DAYLIGHT,L'HEURE ,DEU,ITA,EL HORARIO
SAVINGS TIME,D'ETE,DEU,ITA,DE VERANO 
ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE
ALMATY,ALMATY,ALMATY,ALMATY,ALMATY
AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND
BANGKOK,BANGKOK,BANGKOK,BANGKOK,BANGKOK
BOMBAY,BOMBAY,BOMBAY,BOMBAY,BOMBAY
BRASILIA,BRASILIA,BRASILIA,BRASILIA,BRASILIA
BRISBANE,BRISBANE,BRISBANE,BRISBANE,BRISBANE
CAIRO,CAIRO,CAIRO,CAIRO,CAIRO
CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN
CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE
CHITA,CHITA,CHITA,CHITA,CHITA
DARWIN,DARWIN,DARWIN,DARWIN,DARWIN
EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG
EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL
EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN
EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN
FIJI,FIJI,FIJI,FIJI,FIJI
HONG KONG,HONG KONG,HONG KONG,HONG KONG,HONG KONG
ICELAND,ICELAND,ICELAND,ICELAND,ICELAND
ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD
JAKARTA,JAKARTA,JAKARTA,JAKARTA,JAKARTA
KABUL,KABUL,KABUL,KABUL,KABUL
KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD
KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU
KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK
LAGOS,LAGOS,LAGOS,LAGOS,LAGOS
MAGADAN,MAGADAN,MAGADAN,MAGADAN,MAGADAN
MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL
MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN
MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC
MOSCOW,MOSCOW,MOSCOW,MOSCOW,MOSCOW
MUSCAT,MUSCAT,MUSCAT,MUSCAT,MUSCAT
NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND
NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK
PERTH,PERTH,PERTH,PERTH,PERTH
PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK
RIYADH,RIYADH,RIYADH,RIYADH,RIYADH
SAMARA,SAMARA,SAMARA,SAMARA,SAMARA
SAMOA,SAMOA,SAMOA,SAMOA,SAMOA
SYDNEY,SYDNEY,SYDNEY,SYDNEY,SYDNEY
TASMANIA,TASMANIA,TASMANIA,TASMANIA,TASMANIA
TEHRAN,TEHRAN,TEHRAN,TEHRAN,TEHRAN
TOKYO,TOKYO,TOKYO,TOKYO,TOKYO
US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA
US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA
US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC
US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL
US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN
US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII
US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN
US-PACIFIC,US-PACIFIC,US-PACIFIC,US-PACIFIC,US PACIFIC
VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK
WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK
SENSOR OUTPUT,SORTIE DU CAPTEUR,DEU,ITA,PRODUCCIÎN DEL SENSOR
PRESSURE:,PRESSION,DEU,ITA,PRESIÓN:
DEPTH:,PROFONDEUR,DEU,ITA,ANCHO
EYE:,OEIL,DEU,ITA,OJO 
ROS 1:,ROS 1:,ROS 1:,ROS 1:,ROS 1:
ROS 2:,ROS 2:,ROS 2:,ROS 2:,ROS 2:
TILT:,INCLINAISON,DEU,ITA,INCLINACIÓN
