ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
ASPECT,FOO,BAR,NOO,ASPECTO
ERROR,FOO,BAR,NOO,ERROR
REMOVE SDCARD,FOO,BAR,NOO,RETIRAR LA TARJETA SD
PLEASE INSERT,FOO,BAR,NOO,FAVOR DE INSERTAR
A VALID SDCARD,FOO,BAR,NOO,VÁLIDO TARJETA SD
TO THE DEVICE,FOO,BAR,NOO,AL APARATO
REBOOTING,FOO,BAR,NOO,REINICIENDO
REBOOTING...,FOO,BAR,NOO,REINICIO…
REBOOT,FOO,BAR,NOO,REINICIO
SW REBOOT,FOO,BAR,NOO,REINICIO DE SOFTWARE
FIRMWARE UPDATE,FOO,BAR,NOO,FIRMWARE ACTUALIZADA
  FAILED,FOO,BAR,NOO,FALTA
  PLEASE,FOO,BAR,NOO,POR FAVOR
RECONNECT TO PC,FOO,BAR,NOO,VOLVER DE CONECTAR AL PC
 AND TRY AGAIN,FOO,BAR,NOO,INTENTAR OTRA VEZ
NEW FIRMWARE,FOO,BAR,NOO,FIRMWARE NUEVA
  DETECTED,FOO,BAR,NOO,DETECTADO
PRESS SELECT,FOO,BAR,NOO,PRESIONAR ESCOGER
  TO REBOOT,FOO,BAR,NOO,REINICIAR
  VALIDATING,FOO,BAR,NOO,VALIDANDO
GRAPH CUT AT PAUSE,FOO,BAR,NOO,RECORTA GRÁFICO EN PAUSA
ARE YOU SURE YOU,FOO,BAR,NOO,ESTAS SEGURO DE
WANT TO DELETE,FOO,BAR,NOO,QUIERES BORRAR
WANT TO DISCARD,FOO,BAR,NOO,QUIERES DESECHAR
THIS TEST?,FOO,BAR,NOO,ESTA PRUEBA
PROCESSING DATA,FOO,BAR,NOO,PROCESANDO DATOS
PLEASE WAIT...,FOO,BAR,NOO,ESPERA POR FAVOR...
PLEASE WAIT,FOO,BAR,NOO,ESPERA POR FAVOR
WHILE READING,FOO,BAR,NOO,MIENTRAS LEYENDO
THE RECORD,FOO,BAR,NOO,EL RÉCORD
READING RECORD,FOO,BAR,NOO,LEYENDO RÉCORD 
LINK,FOO,BAR,NOO,ENLAZAR 
LINK SNOW PROFILE,FOO,BAR,NOO,ENLAZAR PERFÍL DE NIEVE
ENTER PASSWORD,FOO,BAR,NOO,ENTRAR CONTRASEÑA
DAILY TEST LIMIT,FOO,BAR,NOO,LÍMITE DE PRUEBAS DIARIA
OF 254 REACHED!!!,FOO,BAR,NOO,DE 254 ALCANZADO
FAVORITE LIMIT OF,FOO,BAR,NOO,LÍMITE DE FAVORITOS
64 REACHED!,FOO,BAR,NOO,64 ALCANZADO
EDITING DISABLED ,FOO,BAR,NOO,EDITACÍON APAGADO
DATE AND TIME,FOO,BAR,NOO,FECHA Y HORA
BLUETOOTH,FOO,BAR,NOO,BLUETOOTH
INITIALIZING BLUETOOTH,FOO,BAR,NOO,INICIANDO BLUETOOTH
GRAPH DETAIL,FOO,BAR,NOO,DETALLE GRÁFICO
GRAPH DETAIL 0,FOO,BAR,NOO,DETALLE GRÁFICO 0
GRAPH DETAIL 1,FOO,BAR,NOO,DETALLE GRÁFICO 1
GRAPH DETAIL 2,FOO,BAR,NOO,DETALLE GRÁFICO 2
GRAPH DETAIL 3,FOO,BAR,NOO,DETALLE GRÁFICO 3
GRAPH DETAIL 4,FOO,BAR,NOO,DETALLE GRÁFICO 4
LANGUAGE,FOO,BAR,NOO,IDIOMA
REQUIRE SLOPE,FOO,BAR,NOO,EXIGIR INCLINACIÓN
ABOUT DEVICE,FOO,BAR,NOO,INFORMACIÓN DEL APARATO
INITIALIZING,FOO,BAR,NOO,INICIANDO
THE DEVICE IS NOW,FOO,BAR,NOO,EL APARATO ESTA 
DISCOVERABLE.,FOO,BAR,NOO,DETECTABLE
PLEASE CONNECT,FOO,BAR,NOO,FAVOR DE CONECTAR
YOUR DEVICE,FOO,BAR,NOO,TÚ APARATO
CONNECTED,FOO,BAR,NOO,CONECTADO
PREPARING TO SYNC,FOO,BAR,NOO,PREPARANDO PARA SINCRONIZAR
SYNCING,FOO,BAR,NOO,SINCRONIZANDO
SYNC COMPLETE!,FOO,BAR,NOO,¡SINCRONIZADO!
SYNC FAILED!,FOO,BAR,NOO,¡SYNCRONIZACIÓN FALLÓ!
PLEASE TRY AGAIN,FOO,BAR,NOO,FAVOR DE INTENTAR OTRA VEZ
PLEASE TURN,FOO,BAR,NOO,FAVOR DE 
ON BLUETOOTH,FOO,BAR,NOO,APAGAR BLUETOOTH
TO SEND THE FILE,FOO,BAR,NOO,PARA ENVIAR LA CARPETA
NO TESTS AVAILABLE,FOO,BAR,NOO,NO HAY PRUEBAS DISPONIBLES
TO SYNC!,FOO,BAR,NOO,¡PARA SINCRONIZAR!
DATE,FOO,BAR,NOO,FECHA
TIME FORMAT,FOO,BAR,NOO,FORMATO HORARIO
TIME ZONE,FOO,BAR,NOO,ZONA HORARIA
TIME,FOO,BAR,NOO,HORA
ZONE,FOO,BAR,NOO,ZONA
DAYLIGHT,FOO,BAR,NOO,EL HORARIO
SAVINGS TIME,FOO,BAR,NOO,DE VERANO 
ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE
ALMATY,ALMATY,ALMATY,ALMATY,ALMATY
AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND
BANGKOK,BANGKOK,BANGKOK,BANGKOK,BANGKOK
BOMBAY,BOMBAY,BOMBAY,BOMBAY,BOMBAY
BRASILIA,BRASILIA,BRASILIA,BRASILIA,BRASILIA
BRISBANE,BRISBANE,BRISBANE,BRISBANE,BRISBANE
CAIRO,CAIRO,CAIRO,CAIRO,CAIRO
CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN
CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE
CHITA,CHITA,CHITA,CHITA,CHITA
DARWIN,DARWIN,DARWIN,DARWIN,DARWIN
EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG
EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL
EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN
EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN
FIJI,FIJI,FIJI,FIJI,FIJI
HONG KONG,HONG KONG,HONG KONG,HONG KONG,HONG KONG
ICELAND,ICELAND,ICELAND,ICELAND,ICELAND
ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD
JAKARTA,JAKARTA,JAKARTA,JAKARTA,JAKARTA
KABUL,KABUL,KABUL,KABUL,KABUL
KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD
KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU
KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK
LAGOS,LAGOS,LAGOS,LAGOS,LAGOS
MAGADAN,MAGADAN,MAGADAN,MAGADAN,MAGADAN
MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL
MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN
MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC
MOSCOW,MOSCOW,MOSCOW,MOSCOW,MOSCOW
MUSCAT,MUSCAT,MUSCAT,MUSCAT,MUSCAT
NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND
NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK
PERTH,PERTH,PERTH,PERTH,PERTH
PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK
RIYADH,RIYADH,RIYADH,RIYADH,RIYADH
SAMARA,SAMARA,SAMARA,SAMARA,SAMARA
SAMOA,SAMOA,SAMOA,SAMOA,SAMOA
SYDNEY,SYDNEY,SYDNEY,SYDNEY,SYDNEY
TASMANIA,TASMANIA,TASMANIA,TASMANIA,TASMANIA
TEHRAN,TEHRAN,TEHRAN,TEHRAN,TEHRAN
TOKYO,TOKYO,TOKYO,TOKYO,TOKYO
US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA
US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA
US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC
US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL
US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN
US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII
US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN
US-PACIFIC,US-PACIFIC,US-PACIFIC,US-PACIFIC,US PACIFIC
VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK
WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK
SENSOR OUTPUT,FOO,BAR,NOO,PRODUCCIÎN DEL SENSOR
PRESSURE:,FOO,BAR,NOO,PRESIÓN:
DEPTH:,FOO,BAR,NOO,ANCHO
EYE:,FOO,BAR,NOO,OJO 
ROS 1:,ROS 1:,ROS 1:,ROS 1:,ROS 1:
ROS 2:,ROS 2:,ROS 2:,ROS 2:,ROS 2:
TILT:,FOO,BAR,NOO,INCLINACIÓN
