str_VAR_NAMES,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
str_WHILE_READING,WHILE READING,QUE LES DONNEES SOIENT LUES,WÄHREND GELESEN WIRD,ITA,MIENTRAS LEYENDO
str_THE_RECORD,THE RECORD,LE RECORD,DIE AUFZEICHNUNG,ITA,EL RECORD
str_READING_RECORD,READING RECORD,LECTURE DES RECORD ,LESEN DER AUFZEICHNUNG ,ITA,LEYENDO RECORD 
str_LINK,LINK,LIER,VERLINKUNG,ITA,ENLAZAR 
str_LINK_SNOW_PROFILE,LINK SNOW PROFILE,LIER LE PROFILE DE NEIGE,SCHNEEPROFIL VERLINKUNG,ITA,ENLAZAR PERFIL DE NIEVE
str_ENTER_PASSWORD,ENTER PASSWORD,ENTRER LE MOT DE PASSE,PASSWORT EINGEBEN,ITA,ENTRAR CONTRASENA
str_DAILY_TEST_LIMIT,DAILY TEST LIMIT,LIMITE DE 254 ,TAGESTESTLIMIT,ITA,LIMITE DE PRUEBAS
str_OF_254_REACHED!!!,OF 254 REACHED!!!,TESTS JOURNALIER ATTEINTE,VON 254 ERREICHT!!!,ITA,DE 254 ALCANZADO
str_FAVORITE_LIMIT_OF,FAVORITE LIMIT OF,LIMITE DE 64,FAVORITEN LIMIT VON,ITA,LIMITE DE FAVORITOS
str_64_REACHED!,64 REACHED!,TESTS JOURNALIER ATTEINTE,64 ERREICHT!,ITA,64 ALCANZADO
str_EDITING_DISABLED_,EDITING DISABLED ,EDITION DESACTIVEE,BEARBEITUNG DEAKTIVIERT,ITA,EDITACION APAGADO
str_DATE_AND_TIME,DATE AND TIME,DATE ET HEURE,DATUM UND ZEIT,ITA,FECHA Y HORA
str_BLUETOOTH,BLUETOOTH,BLUETOOTH,BLUETOOTH,ITA,BLUETOOTH
str_INITIALIZING_BLUETOOTH,INITIALIZING BLUETOOTH,INITIALISATION BLUETOOTH,INIZIALISIERUNG BLUETOOTH,ITA,INICIANDO BLUETOOTH
str_BACK_LIGHT,BACK LIGHT,poop,foo,poop,LUZ
str_GRAPH_DETAIL,GRAPH DETAIL,DETAIL GRAPHE,GRAFIK DETAIL,ITA,DETALLE GRAFICO
str_GRAPH_DETAIL_0,GRAPH DETAIL 0,DETAIL GRAPHE 0,GRAFIK DETAIL 0,ITA,DETALLE GRAFICO 0
str_GRAPH_DETAIL_1,GRAPH DETAIL 1,DETAIL GRAPHE 1,GRAFIK DETAIL 1,ITA,DETALLE GRAFICO 1
str_GRAPH_DETAIL_2,GRAPH DETAIL 2,DETAIL GRAPHE 2,GRAFIK DETAIL 2,ITA,DETALLE GRAFICO 2
str_GRAPH_DETAIL_3,GRAPH DETAIL 3,DETAIL GRAPHE 3,GRAFIK DETAIL 3,ITA,DETALLE GRAFICO 3
str_GRAPH_DETAIL_4,GRAPH DETAIL 4,DETAIL GRAPHE 4,GRAFIK DETAIL 4,ITA,DETALLE GRAFICO 4
str_LANGUAGE,LANGUAGE,LANGUE,SPRACHE,ITA,IDIOMA
str_REQUIRE_SLOPE,REQUIRE SLOPE,PENTE OBLIGATOIRE,BENÖTIGE HANG,ITA,EXIGIR INCLINACION
str_ABOUT_DEVICE,ABOUT DEVICE,A PROPOS DE L'APPAREIL,ÜBER DAS GERÄT,ITA,INFORMACION DEL APARATO
str_INITIALIZING,INITIALIZING,INITIALISATION,INIZIALISIERUNG,ITA,INICIANDO
str_THE_DEVICE_IS_NOW,THE DEVICE IS NOW,L'APPAREIL EST MAINTENANT DECOUVRABLE,DAS GERÄT IST NUN,ITA,EL APARATO ESTA 
str_DISCOVERABLE.,DISCOVERABLE.,FOO,WIEDERHERSTELLBAR.,ITA,DETECTABLE
str_PLEASE_CONNECT,PLEASE CONNECT,CONNECTER VOTRE ,BITTE VERBINDE,ITA,FAVOR DE CONECTAR
str_YOUR_DEVICE,YOUR DEVICE,APPAREIL SVP,DEIN GERÄT,ITA,TU APARATO
str_CONNECTED,CONNECTED,CONNECTE,VERBUNDEN,ITA,CONECTADO
str_PREPARING_TO_SYNC,PREPARING TO SYNC,PREPARATION DE LA SYNCHRONISATION,VORBEREITUNG ZUR SYNCHRONISIERUNG,ITA,PREPARANDO PARA SINCRONIZAR
str_SYNCING,SYNCING,SYNCHRONISATION,SYNCHRONISIERUNG,ITA,SINCRONIZANDO
str_SYNC_COMPLETE!,SYNC COMPLETE!,SYNCHRONISATION COMPLETEE,SYNCHRONISIERUNG ABGESCHLOSSEN!,ITA,SINCRONIZADO!
str_SYNC_FAILED!,SYNC FAILED!,SYNCHRONISATION ECHOUEE,SYNCHRONISIERUNG FEHLGESCHLAGEN!,ITA,SYNC FALLO!
str_PLEASE_TRY_AGAIN,PLEASE TRY AGAIN,ESSAYER DE NOUVEAU SVP,BITTE ERNEUT VERSUCHEN,ITA,FAVOR DE INTENTAR OTRA VEZ
str_PLEASE_TURN,PLEASE TURN,ALLUMER BLUETOOTH ,BITTE AKTIVIERE,ITA,FAVOR DE 
str_ON_BLUETOOTH,ON BLUETOOTH,POUR ENVOYER,BLUETOOTH,ITA,APAGAR BLUETOOTH
str_TO_SEND_THE_FILE,TO SEND THE FILE,LE FICHIER,UM DIE DATEN ZU SENDEN,ITA,PARA ENVIAR LA CARPETA
str_NO_TESTS_AVAILABLE,NO TESTS AVAILABLE,A SYNCHRONISER,KEINE TESTS VERFÜGBAR,ITA,NO HAY PRUEBAS DISPONIBLES
str_TO_SYNC!,TO SYNC!,AUCUN TEST ,ZUR SYNCHRONISIERUNG!,ITA,PARA SINCRONIZAR!
str_DATE,DATE,DATE,DATUM,ITA,FECHA
str_TIME_FORMAT,TIME FORMAT,FORMAT DE LHEURE,ZEITFORMAT,ITA,FORMATO HORARIO
str_TIME_ZONE,TIME ZONE,FUSEAU HORAIRE,ZEITZONE,ITA,ZONA HORARIA
str_TIME,TIME,HEURE,ZEIT,ITA,HORA
str_ZONE,ZONE,FUSEAU,ZONE,ITA,ZONA
str_DAYLIGHT,DAYLIGHT,L'HEURE ,WINTERZEIT,ITA,EL HORARIO
str_SAVINGS_TIME,SAVINGS TIME,D'ETE,SOMMERZEIT ,ITA,DE VERANO 
str_ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE,ADELAIDE
str_ALMATY,ALMATY,ALMATY,ALMATY,ALMATY,ALMATY
str_AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND,AUCKLAND
str_BANGKOK,BANGKOK,BANGKOK,BANGKOK,BANGKOK,BANGKOK
str_BOMBAY,BOMBAY,BOMBAY,BOMBAY,BOMBAY,BOMBAY
str_BRASILIA,BRASILIA,BRASILIA,BRASILIA,BRASILIA,BRASILIA
str_BRISBANE,BRISBANE,BRISBANE,BRISBANE,BRISBANE,BRISBANE
str_CAIRO,CAIRO,CAIRO,CAIRO,CAIRO,CAIRO
str_CAPE_TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN,CAPE TOWN
str_CAPE_VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE,CAPE VERDE
str_CHITA,CHITA,CHITA,CHITA,CHITA,CHITA
str_DARWIN,DARWIN,DARWIN,DARWIN,DARWIN,DARWIN
str_EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG,EKATERINBURG
str_EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL,EU-CENTRAL
str_EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN,EU-EASTERN
str_EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN,EU-WESTERN
str_FIJI,FIJI,FIJI,FIJI,FIJI,FIJI
str_HONG_KONG,HONG KONG,HONG KONG,HONG KONG,HONG KONG,HONG KONG
str_ICELAND,ICELAND,ICELAND,ICELAND,ICELAND,ICELAND
str_ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD,ISLAMABAD
str_JAKARTA,JAKARTA,JAKARTA,JAKARTA,JAKARTA,JAKARTA
str_KABUL,KABUL,KABUL,KABUL,KABUL,KABUL
str_KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD,KALININGRAD
str_KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU,KATHMANDU
str_KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK,KRASNOYARSK
str_LAGOS,LAGOS,LAGOS,LAGOS,LAGOS,LAGOS
str_MAGADAN,MAGADAN,MAGADAN,MAGADAN,MAGADAN,MAGADAN
str_MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL,MEX-CENTRAL
str_MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN,MEX-MOUNTAIN
str_MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC,MEX-PACIFIC
str_MOSCOW,MOSCOW,MOSCOW,MOSCOW,MOSCOW,MOSCOW
str_MUSCAT,MUSCAT,MUSCAT,MUSCAT,MUSCAT,MUSCAT
str_NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND,NEWFOUNDLAND
str_NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK,NOVOSIBIRSK
str_PERTH,PERTH,PERTH,PERTH,PERTH,PERTH
str_PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK,PETROPAVLOVSK
str_RIYADH,RIYADH,RIYADH,RIYADH,RIYADH,RIYADH
str_SAMARA,SAMARA,SAMARA,SAMARA,SAMARA,SAMARA
str_SAMOA,SAMOA,SAMOA,SAMOA,SAMOA,SAMOA
str_SYDNEY,SYDNEY,SYDNEY,SYDNEY,SYDNEY,SYDNEY
str_TASMANIA,TASMANIA,TASMANIA,TASMANIA,TASMANIA,TASMANIA
str_TEHRAN,TEHRAN,TEHRAN,TEHRAN,TEHRAN,TEHRAN
str_TOKYO,TOKYO,TOKYO,TOKYO,TOKYO,TOKYO
str_US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA,US-ALASKA
str_US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA,US-ARIZONA
str_US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC,US-ATLANTIC
str_US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL,US-CENTRAL
str_US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN,US-EASTERN
str_US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII,US-HAWAII
str_US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN,US-MOUNTAIN
str_US-PACIFIC,US-PACIFIC,US-PACIFIC,US-PACIFIC,US-PACIFIC,US PACIFIC
str_VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK,VLADIVOSTOK
str_WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK,WINDHOEK
str_SENSOR_OUTPUT,SENSOR OUTPUT,SORTIE DU CAPTEUR,ERGEBNIS DES SENSORS,ITA,PRODUCCION DEL SENSOR
str_PRESSURE,PRESSURE:,PRESSION,DRUCK,ITA,PRESION:
str_DEPTH,DEPTH:,PROFONDEUR,TIEFE,ITA,ANCHO
str_EYE,EYE:,OEIL,AUGE,ITA,OJO 
str_ROS_1,ROS 1:,ROS 1:,ROS 1,ROS 1:,ROS 1:
str_ROS_2,ROS 2:,ROS 2:,ROS 2,ROS 2:,ROS 2:
str_TILT,TILT,INCLINAISON,NEIGUNG,ITA,INCLINACION
